===== attempt 1 =====
[conv9] ingested 568 turns, notes persisted under results/repro/stores/nemori-armB-e3s
[ingest-only] done (conv9); reload with --eval-only
[done] wrote /home/jinmang2/agentic_memory/results/repro/gpt-4o-mini_nemori_merge085_conv9_ingest_e3sB_c9.json
[done] wrote /home/jinmang2/agentic_memory/results/repro/gpt-4o-mini_nemori_merge085_conv9_ingest_e3sB_c9.llm-trace.jsonl (full LLM I/O trace)
[done] wrote /home/jinmang2/agentic_memory/results/repro/gpt-4o-mini_nemori_merge085_conv9_ingest_e3sB_c9.memory.jsonl (memory snapshot)
[done] wrote /home/jinmang2/agentic_memory/results/repro/gpt-4o-mini_nemori_merge085_conv9_ingest_e3sB_c9.memory.ops.jsonl (evolution log)
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv9 top_k=5 threshold=0.85 hits=[]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv9 top_k=5 threshold=0.85 hits=[]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv9 top_k=5 threshold=0.85 hits=[]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv9 top_k=5 threshold=0.85 hits=[]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv9 top_k=5 threshold=0.85 hits=[('9b8fd8bb0ae841bcbd6543a759ac8e73', 0.824165332177962), ('2e8340ec61a840e6864332b2a0d7b060', 0.7389908344144716), ('0a82cffb7ef54e9a9a5d4f8659a95868', 0.6242790372669501), ('98bfe715c91c445883722f601b4e3e11', 0.5928226335293876)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv9 top_k=5 threshold=0.85 hits=[('2e8340ec61a840e6864332b2a0d7b060', 0.721045939963502), ('0a82cffb7ef54e9a9a5d4f8659a95868', 0.6852974257731637), ('98bfe715c91c445883722f601b4e3e11', 0.6069769737551394), ('9b8fd8bb0ae841bcbd6543a759ac8e73', 0.5281142944106805)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv9 top_k=5 threshold=0.85 hits=[('9b8fd8bb0ae841bcbd6543a759ac8e73', 0.6850026799068478), ('0a82cffb7ef54e9a9a5d4f8659a95868', 0.6630194564745503), ('98bfe715c91c445883722f601b4e3e11', 0.6602428327745495), ('2e8340ec61a840e6864332b2a0d7b060', 0.6598107709351049)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv9 top_k=5 threshold=0.85 hits=[('4982fb988c524b0d8c862f0337c6b609', 0.7982581410740824), ('98bfe715c91c445883722f601b4e3e11', 0.7740865895359055), ('cfbe36b5d3b4495c9ebb27d8b0d2d87f', 0.7689716582819122), ('0a82cffb7ef54e9a9a5d4f8659a95868', 0.6790246557449153), ('2e8340ec61a840e6864332b2a0d7b060', 0.6286025881871222)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv9 top_k=5 threshold=0.85 hits=[('2e8340ec61a840e6864332b2a0d7b060', 0.7299561730735145), ('4982fb988c524b0d8c862f0337c6b609', 0.6854075042224264), ('0a82cffb7ef54e9a9a5d4f8659a95868', 0.646061773540708), ('98bfe715c91c445883722f601b4e3e11', 0.62109482655391), ('94650b2a9a224a5189c35b6bcc0c5928', 0.6116513717062052)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv9 top_k=5 threshold=0.85 hits=[('94650b2a9a224a5189c35b6bcc0c5928', 0.7613196870354986), ('2e8340ec61a840e6864332b2a0d7b060', 0.717384013722925), ('9b8fd8bb0ae841bcbd6543a759ac8e73', 0.6792688240508985), ('4982fb988c524b0d8c862f0337c6b609', 0.6436076238723671), ('0a82cffb7ef54e9a9a5d4f8659a95868', 0.6253495774831249)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv9 top_k=5 threshold=0.85 hits=[('ee108afd297b4f4fbb5b171b70f30326', 0.9172997447049752), ('94650b2a9a224a5189c35b6bcc0c5928', 0.75921151895832), ('2e8340ec61a840e6864332b2a0d7b060', 0.7334600307149148), ('9b8fd8bb0ae841bcbd6543a759ac8e73', 0.6638245934340272), ('4982fb988c524b0d8c862f0337c6b609', 0.6631689188422347)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv9 top_k=5 threshold=0.85 hits=[('ee108afd297b4f4fbb5b171b70f30326', 0.8142988082354314), ('2e8340ec61a840e6864332b2a0d7b060', 0.7456888302248319), ('94650b2a9a224a5189c35b6bcc0c5928', 0.7162770730400844), ('5e10d603529f4f90891592ac23853acd', 0.6672662647232521), ('4982fb988c524b0d8c862f0337c6b609', 0.6499605679175847)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv9 top_k=5 threshold=0.85 hits=[('37149c864f634154b8e81e49dd9c8a83', 0.6764944498780026), ('cfbe36b5d3b4495c9ebb27d8b0d2d87f', 0.6689124762570409), ('4982fb988c524b0d8c862f0337c6b609', 0.6673204701736467), ('94650b2a9a224a5189c35b6bcc0c5928', 0.6595152406891092), ('1093fd8b5fb44fc99cbe597ee2e1e620', 0.6577550196537257)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv9 top_k=5 threshold=0.85 hits=[('37149c864f634154b8e81e49dd9c8a83', 0.8123258923554173), ('46bd2af9e141456b802faf65ecad71f8', 0.7864275125845875), ('94650b2a9a224a5189c35b6bcc0c5928', 0.7504992217585663), ('2e8340ec61a840e6864332b2a0d7b060', 0.7416643065417678), ('cfbe36b5d3b4495c9ebb27d8b0d2d87f', 0.7231148424991958)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv9 top_k=5 threshold=0.85 hits=[('0a82cffb7ef54e9a9a5d4f8659a95868', 0.7184375455200822), ('cfbe36b5d3b4495c9ebb27d8b0d2d87f', 0.6707492338459689), ('1093fd8b5fb44fc99cbe597ee2e1e620', 0.636885129992347), ('4982fb988c524b0d8c862f0337c6b609', 0.6318565845197075), ('37149c864f634154b8e81e49dd9c8a83', 0.6195213786708147)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv9 top_k=5 threshold=0.85 hits=[('e52feffebc1849058ac1240ee84d0f1d', 0.6913867109184422), ('0a82cffb7ef54e9a9a5d4f8659a95868', 0.6712325666238829), ('47ba4a975b7a4ccfa21363840b3014ed', 0.6345965693157427), ('2e8340ec61a840e6864332b2a0d7b060', 0.6227559858772638), ('37149c864f634154b8e81e49dd9c8a83', 0.6198876519325778)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv9 top_k=5 threshold=0.85 hits=[('2e8340ec61a840e6864332b2a0d7b060', 0.6842412229114487), ('0a82cffb7ef54e9a9a5d4f8659a95868', 0.6824204104890107), ('7274e0270fce4e32a7995239db1b9b6d', 0.6557931185013435), ('47ba4a975b7a4ccfa21363840b3014ed', 0.6502510832775237), ('4982fb988c524b0d8c862f0337c6b609', 0.6490287540392827)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv9 top_k=5 threshold=0.85 hits=[('cfbe36b5d3b4495c9ebb27d8b0d2d87f', 0.7199887791595704), ('7274e0270fce4e32a7995239db1b9b6d', 0.6968160086511783), ('1093fd8b5fb44fc99cbe597ee2e1e620', 0.6911279145230699), ('e52feffebc1849058ac1240ee84d0f1d', 0.6815449246435576), ('4982fb988c524b0d8c862f0337c6b609', 0.6253788629015917)]
