===== attempt 1 =====
[conv1] ingested 369 turns, notes persisted under results/repro/stores/nemori-armB-e3s
[ingest-only] done (conv1); reload with --eval-only
[done] wrote /home/jinmang2/agentic_memory/results/repro/gpt-4o-mini_nemori_merge085_conv1_ingest_e3sB_c1.json
[done] wrote /home/jinmang2/agentic_memory/results/repro/gpt-4o-mini_nemori_merge085_conv1_ingest_e3sB_c1.llm-trace.jsonl (full LLM I/O trace)
[done] wrote /home/jinmang2/agentic_memory/results/repro/gpt-4o-mini_nemori_merge085_conv1_ingest_e3sB_c1.memory.jsonl (memory snapshot)
[done] wrote /home/jinmang2/agentic_memory/results/repro/gpt-4o-mini_nemori_merge085_conv1_ingest_e3sB_c1.memory.ops.jsonl (evolution log)
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv1 top_k=5 threshold=0.85 hits=[]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv1 top_k=5 threshold=0.85 hits=[]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv1 top_k=5 threshold=0.85 hits=[]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv1 top_k=5 threshold=0.85 hits=[('acfe203182ea4785b2bed675af34c958', 0.7873296986510587), ('d2d316f5c41d4cbe94ecf93b235a6da4', 0.7706771536902794), ('c5987b10428c431484eeb0c3866263e9', 0.6143191772400992)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv1 top_k=5 threshold=0.85 hits=[('c5987b10428c431484eeb0c3866263e9', 0.7828832363056166), ('acfe203182ea4785b2bed675af34c958', 0.7533165773532366), ('d2d316f5c41d4cbe94ecf93b235a6da4', 0.6686253049191028)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv1 top_k=5 threshold=0.85 hits=[('6188a05f971740e09629dfae73b4a3e3', 0.6679851502582417), ('c5987b10428c431484eeb0c3866263e9', 0.6204178092083078), ('f94c6bc3824b4aa5b48b113efeb6599c', 0.6160577273607112), ('acfe203182ea4785b2bed675af34c958', 0.6027909663849926), ('d2d316f5c41d4cbe94ecf93b235a6da4', 0.5634723326340708)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv1 top_k=5 threshold=0.85 hits=[('6188a05f971740e09629dfae73b4a3e3', 0.8670523888532033), ('acfe203182ea4785b2bed675af34c958', 0.7850653337623765), ('c5987b10428c431484eeb0c3866263e9', 0.7804953913669618), ('f94c6bc3824b4aa5b48b113efeb6599c', 0.7083810939912689), ('d2d316f5c41d4cbe94ecf93b235a6da4', 0.6794813885441024)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv1 top_k=5 threshold=0.85 hits=[('6188a05f971740e09629dfae73b4a3e3', 0.7619240794557851), ('c5987b10428c431484eeb0c3866263e9', 0.7261092177751569), ('acfe203182ea4785b2bed675af34c958', 0.614031785777855), ('f94c6bc3824b4aa5b48b113efeb6599c', 0.5660778225787777), ('d2d316f5c41d4cbe94ecf93b235a6da4', 0.5353162940843263)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv1 top_k=5 threshold=0.85 hits=[('b315c22e06d444c3b01542cc0f6f7761', 0.8271330375817231), ('c5987b10428c431484eeb0c3866263e9', 0.765069124342628), ('acfe203182ea4785b2bed675af34c958', 0.7533757354735178), ('c6b56c9df9cc4389ab918d4698f3e1f1', 0.7396572159262125), ('c255d8c9d36642919e7bb61f2b8c9550', 0.716248285678543)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv1 top_k=5 threshold=0.85 hits=[('b315c22e06d444c3b01542cc0f6f7761', 0.848479320668877), ('acfe203182ea4785b2bed675af34c958', 0.8148285306976459), ('f94c6bc3824b4aa5b48b113efeb6599c', 0.7515573339550747), ('c255d8c9d36642919e7bb61f2b8c9550', 0.7475536702086425), ('c5987b10428c431484eeb0c3866263e9', 0.7224948877673021)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv1 top_k=5 threshold=0.85 hits=[('b315c22e06d444c3b01542cc0f6f7761', 0.9023365973109624), ('1c07e85ecc6f48cea7dba10349c75e14', 0.8576984298913093), ('082d1e8c6d7b464f9c74f2e96e1202bc', 0.8391444268209662), ('acfe203182ea4785b2bed675af34c958', 0.7976969048479645), ('c5987b10428c431484eeb0c3866263e9', 0.7895091284965975)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv1 top_k=5 threshold=0.85 hits=[('acfe203182ea4785b2bed675af34c958', 0.7579860155574196), ('082d1e8c6d7b464f9c74f2e96e1202bc', 0.7364119151929029), ('b315c22e06d444c3b01542cc0f6f7761', 0.7057086844583134), ('1c07e85ecc6f48cea7dba10349c75e14', 0.7008455294006228), ('c5987b10428c431484eeb0c3866263e9', 0.6578765402406699)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv1 top_k=5 threshold=0.85 hits=[('1c07e85ecc6f48cea7dba10349c75e14', 0.8590921838549547), ('b315c22e06d444c3b01542cc0f6f7761', 0.7981445296479233), ('c5987b10428c431484eeb0c3866263e9', 0.7715679081633874), ('082d1e8c6d7b464f9c74f2e96e1202bc', 0.7535422681450317), ('acfe203182ea4785b2bed675af34c958', 0.739010960378446)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv1 top_k=5 threshold=0.85 hits=[('ed237fe50e5c40f0935580f5d61f3cea', 0.8300754068436105), ('c255d8c9d36642919e7bb61f2b8c9550', 0.8181370280841094), ('b315c22e06d444c3b01542cc0f6f7761', 0.8170256983026191), ('082d1e8c6d7b464f9c74f2e96e1202bc', 0.7831654285159427), ('c5987b10428c431484eeb0c3866263e9', 0.7768820969469414)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv1 top_k=5 threshold=0.85 hits=[('c255d8c9d36642919e7bb61f2b8c9550', 0.7468778766668916), ('b315c22e06d444c3b01542cc0f6f7761', 0.6185204535830126), ('082d1e8c6d7b464f9c74f2e96e1202bc', 0.6042951241747627), ('c5987b10428c431484eeb0c3866263e9', 0.5778953888117964), ('ed237fe50e5c40f0935580f5d61f3cea', 0.5774514116142093)]
INFO agmem.organizers.nemori: nemori: merge candidate scores namespace=repro-conv1 top_k=5 threshold=0.85 hits=[('10876eb3ecb24d0c8ae28a333c88ef3d', 0.8807163916421639), ('ed237fe50e5c40f0935580f5d61f3cea', 0.876824171076284), ('b315c22e06d444c3b01542cc0f6f7761', 0.8491858692847019), ('c255d8c9d36642919e7bb61f2b8c9550', 0.8027032371669492), ('15565ce5911d41159f2523e4c82c0447', 0.7967739287292256)]
